382253	`202520260AB373`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Blanca Rubio`	2025-03-07 14:55:59	2025-02-03 00:00:00	NULL	BILL_ANALYSIS_TBL_32.lob	`Y`	`Y`	`morantcm`	2025-03-07 14:55:59
382242	`202520260AB387`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Alanis`	2025-03-07 11:16:35	2025-03-05 00:00:00	NULL	BILL_ANALYSIS_TBL_33.lob	`Y`	`Y`	`morantcm`	2025-03-07 11:16:35
382246	`202520260AB397`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Mark González`	2025-03-07 14:28:21	2025-02-03 00:00:00	NULL	BILL_ANALYSIS_TBL_34.lob	`Y`	`Y`	`highlasl`	2025-03-07 14:28:21
382247	`202520260AB398`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Ahrens`	2025-03-07 14:29:01	2025-02-04 00:00:00	NULL	BILL_ANALYSIS_TBL_35.lob	`Y`	`Y`	`highlasl`	2025-03-07 14:29:01
382271	`202520260AB414`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Pellerin`	2025-03-08 12:37:25	2025-02-04 00:00:00	NULL	BILL_ANALYSIS_TBL_36.lob	`Y`	`Y`	`morantcm`	2025-03-08 12:37:25
382248	`202520260AB418`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Wilson`	2025-03-07 14:29:38	2025-03-03 00:00:00	NULL	BILL_ANALYSIS_TBL_37.lob	`Y`	`Y`	`highlasl`	2025-03-07 14:29:38
382207	`202520260AB71`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Lackey`	2025-03-03 09:27:40	2024-12-11 00:00:00	NULL	BILL_ANALYSIS_TBL_38.lob	`Y`	`Y`	`potterel`	2025-03-03 09:27:40
382191	`202520260AB78`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Chen`	2025-02-27 16:22:18	2024-12-18 00:00:00	NULL	BILL_ANALYSIS_TBL_39.lob	`Y`	`Y`	`morantcm`	2025-02-27 16:22:18
382266	`202520260AB79`	`A`	`ABPCA`	`CX11`	`Assembly Human Services`	`Arambula`	2025-03-07 17:27:54	2025-03-04 00:00:00	NULL	BILL_ANALYSIS_TBL_40.lob	`Y`	`Y`	`zupanto`	2025-03-07 17:27:54
382084	`202520260ACR10`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`MARK`	2025-01-09 00:00:00	2025-01-06 00:00:00	NULL	BILL_ANALYSIS_TBL_41.lob	`Y`	`Y`	`CS_MP`	2025-01-13 08:44:10
382124	`202520260ACR10`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`MarkGonzález`	2025-01-24 00:00:00	2025-01-06 00:00:00	NULL	BILL_ANALYSIS_TBL_42.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-01-24 11:00:03
382121	`202520260ACR11`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`AHRENS`	2025-01-24 00:00:00	2025-01-07 00:00:00	NULL	BILL_ANALYSIS_TBL_43.lob	`Y`	`Y`	`CS_MP`	2025-01-27 13:38:27
382110	`202520260ACR11`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Ahrens`	2025-01-22 16:02:51	2025-01-07 00:00:00	NULL	BILL_ANALYSIS_TBL_44.lob	`Y`	`Y`	`erkemw`	2025-01-22 16:02:51
382138	`202520260ACR11`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Ahrens`	2025-02-05 00:00:00	2025-01-07 00:00:00	NULL	BILL_ANALYSIS_TBL_45.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-05 15:38:02
382106	`202520260ACR14`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`MICHELLE`	2025-01-22 00:00:00	2025-01-14 00:00:00	NULL	BILL_ANALYSIS_TBL_46.lob	`Y`	`Y`	`CS_MP`	2025-01-22 16:14:55
382139	`202520260ACR14`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`MichelleRodriguez`	2025-02-05 00:00:00	2025-01-14 00:00:00	NULL	BILL_ANALYSIS_TBL_47.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-05 15:38:02
382165	`202520260ACR17`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Hadwick`	2025-02-14 00:00:00	2025-01-17 00:00:00	NULL	BILL_ANALYSIS_TBL_48.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-14 15:44:02
382111	`202520260ACR17`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Hadwick`	2025-01-22 16:04:44	2025-01-17 00:00:00	NULL	BILL_ANALYSIS_TBL_49.lob	`Y`	`Y`	`erkemw`	2025-01-22 16:04:44
382122	`202520260ACR18`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`S`	2025-01-24 00:00:00	2025-01-22 00:00:00	NULL	BILL_ANALYSIS_TBL_50.lob	`Y`	`Y`	`CS_MP`	2025-01-27 12:11:35
382109	`202520260ACR18`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Sharp-Collins`	2025-01-22 16:00:47	2025-01-22 00:00:00	NULL	BILL_ANALYSIS_TBL_51.lob	`Y`	`Y`	`erkemw`	2025-01-22 16:00:47
