`20250AB106299INT`	`Legislator`	`ASSEMBLY`	`Hoover`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:56:05	`Y`
`20250AB106399INT`	`Legislator`	`ASSEMBLY`	`Dixon`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:57:07	`Y`
`20250AB106499INT`	`Legislator`	`ASSEMBLY`	`Bauer-Kahan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:58:04	`Y`
`20250AB106599INT`	`Legislator`	`ASSEMBLY`	`Ortega`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:58:50	`Y`
`20250AB106599INT`	`Legislator`	`SENATE`	`Cortese`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:58:50	`N`
`20250AB106599INT`	`Legislator`	`SENATE`	`Ochoa Bogh`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:58:50	`N`
`20250AB106699INT`	`Legislator`	`ASSEMBLY`	`Castillo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:00:57	`Y`
`20250AB106799INT`	`Legislator`	`ASSEMBLY`	`Quirk-Silva`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:01:36	`Y`
`20250AB106899INT`	`Legislator`	`ASSEMBLY`	`Bains`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:02:51	`Y`
`20250AB106999INT`	`Legislator`	`ASSEMBLY`	`Bains`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:04:01	`Y`
`20250AB10699INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:47:18	`Y`
`20250AB107099INT`	`Legislator`	`ASSEMBLY`	`Ward`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:04:30	`Y`
`20250AB107199INT`	`Legislator`	`ASSEMBLY`	`Kalra`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:05:43	`Y`
`20250AB107299INT`	`Legislator`	`ASSEMBLY`	`Pellerin`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:06:13	`Y`
`20250AB107399INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:07:07	`Y`
`20250AB107499INT`	`Legislator`	`ASSEMBLY`	`Patel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:07:49	`Y`
`20250AB107599INT`	`Legislator`	`ASSEMBLY`	`Bryan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:08:27	`Y`
`20250AB107599INT`	`Legislator`	`ASSEMBLY`	`McKinnor`	`PRINCIPAL_COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:08:27	`N`
`20250AB107699INT`	`Legislator`	`ASSEMBLY`	`Addis`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:09:05	`Y`
`20250AB107799INT`	`Legislator`	`ASSEMBLY`	`Essayli`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:09:44	`Y`
`20250AB107899INT`	`Legislator`	`ASSEMBLY`	`Berman`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:10:30	`Y`
`20250AB107999INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:11:14	`Y`
`20250AB10799INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:47:58	`Y`
`20250AB108099INT`	`Legislator`	`ASSEMBLY`	`Bryan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:12:00	`Y`
`20250AB108199INT`	`Legislator`	`ASSEMBLY`	`Macedo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:12:40	`Y`
`20250AB108299INT`	`Legislator`	`ASSEMBLY`	`Flora`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:13:28	`Y`
`20250AB108399INT`	`Legislator`	`ASSEMBLY`	`Connolly`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:14:08	`Y`
`20250AB108499INT`	`Legislator`	`ASSEMBLY`	`Zbur`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`Y`
`20250AB108499INT`	`Legislator`	`ASSEMBLY`	`Mark González`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`ASSEMBLY`	`Jackson`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`ASSEMBLY`	`Lee`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`ASSEMBLY`	`Ward`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Cabaldon`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Cervantes`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Laird`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Menjivar`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Padilla`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108499INT`	`Legislator`	`SENATE`	`Wiener`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:15:12	`N`
`20250AB108599INT`	`Legislator`	`ASSEMBLY`	`Stefani`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:52:09	`Y`
`20250AB108699INT`	`Legislator`	`ASSEMBLY`	`Muratsuchi`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:52:42	`Y`
`20250AB108799INT`	`Legislator`	`ASSEMBLY`	`Patterson`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:53:19	`Y`
`20250AB108899INT`	`Legislator`	`ASSEMBLY`	`Bains`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:53:54	`Y`
`20250AB108999INT`	`Legislator`	`ASSEMBLY`	`Carrillo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:57:22	`Y`
`20250AB10899INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:48:23	`Y`
`20250AB109099INT`	`Legislator`	`ASSEMBLY`	`Davies`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:58:11	`Y`
`20250AB109199INT`	`Legislator`	`ASSEMBLY`	`Gallagher`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 15:58:47	`Y`
`20250AB109299INT`	`Legislator`	`ASSEMBLY`	`Castillo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:12:19	`Y`
`20250AB109399INT`	`Legislator`	`ASSEMBLY`	`Solache`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:14:02	`Y`
`20250AB109499INT`	`Legislator`	`ASSEMBLY`	`Bains`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:14:27	`Y`
`20250AB109599INT`	`Legislator`	`ASSEMBLY`	`Papan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:14:57	`Y`
`20250AB109699INT`	`Legislator`	`ASSEMBLY`	`Connolly`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:15:25	`Y`
`20250AB109799INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:16:01	`Y`
`20250AB109899INT`	`Legislator`	`ASSEMBLY`	`Fong`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:16:31	`Y`
`20250AB109999INT`	`Legislator`	`ASSEMBLY`	`Bryan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:18:15	`Y`
`20250AB10999INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:49:07	`Y`
`20250AB1099INT`	`Legislator`	`ASSEMBLY`	`Essayli`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2024-12-02 18:17:51	`Y`
`20250AB110099INT`	`Legislator`	`ASSEMBLY`	`Sharp-Collins`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:18:55	`Y`
`20250AB110199INT`	`Legislator`	`ASSEMBLY`	`Nguyen`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:19:29	`Y`
`20250AB110299INT`	`Legislator`	`ASSEMBLY`	`Boerner`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:20:09	`Y`
`20250AB110399INT`	`Legislator`	`ASSEMBLY`	`Ward`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:20:52	`Y`
`20250AB110499INT`	`Legislator`	`ASSEMBLY`	`Pellerin`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:21:51	`Y`
`20250AB110599INT`	`Legislator`	`ASSEMBLY`	`Quirk-Silva`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:22:35	`Y`
`20250AB110699INT`	`Legislator`	`ASSEMBLY`	`Michelle Rodriguez`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:23:20	`Y`
`20250AB110799INT`	`Legislator`	`ASSEMBLY`	`Flora`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:23:55	`Y`
`20250AB110899INT`	`Legislator`	`ASSEMBLY`	`Hart`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:24	`Y`
`20250AB110999INT`	`Legislator`	`ASSEMBLY`	`Kalra`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:58	`Y`
`20250AB110999INT`	`Legislator`	`ASSEMBLY`	`Mark González`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:58	`N`
